,Score,Rating,Total_shot,Woodwork,Shot_onTarget,Shot_offTarget,Shot_blocked,Possession,Touches,Pass%,Total_pass,Acc_pass,Key_pass,Dribble_won,Dribble_att,Dribbled_past,Dribble%,Aerial_won,Aerial_won%,Off_aerial,Def_aerial,Succ_Tack,Tack_att,Was_dribbled,Tack%,Clearance,Intercept,Corner,Corner%,Disposs,Err,Foul,Offside,W,D,L,Result
1201,2,0.6399999999999997,5,0,5,-2,2,15.200000000000003,134,11,122,133,-1,9,8,-9,23,-4,-10,0,0,-5,-14,-9,13,-15,-9,-1,-50,6,0,4,2,1,0,0,W
1202,1,0.2600000000000007,3,-1,1,1,1,-12.400000000000006,-115,-2,-132,-118,3,0,0,0,0,10,36,4,-4,-5,-5,0,-4,-2,5,-2,32,5,1,1,5,1,0,0,W
1203,2,0.5099999999999998,-3,1,2,-3,-2,-10.200000000000003,-108,-4,-90,-90,1,-6,-9,6,-2,-1,-4,11,-11,0,6,6,-9,8,2,-3,-25,3,2,1,3,1,0,0,W
1204,2,0.7000000000000002,10,-1,6,2,2,25.799999999999997,223,9,219,224,10,1,-2,-1,19,-3,-14,1,-1,0,-1,-1,3,-10,2,9,56,4,0,2,0,1,0,0,W
1205,1,0.33999999999999986,20,0,7,8,5,52.0,482,30,471,482,17,1,1,-1,2,9,34,-19,19,-8,-9,-1,-7,-14,-10,1,10,8,0,-4,-3,1,0,0,W
1206,0,-0.0600000000000005,6,0,1,6,-1,1.4000000000000057,6,1,2,7,4,2,2,-2,6,11,40,11,-11,-6,-8,-2,-1,-13,-3,2,-25,6,0,-1,3,0,1,0,D
1207,4,1.5099999999999998,1,0,3,3,-5,20.799999999999997,205,6,187,191,1,6,8,-6,10,7,26,-5,5,8,2,-6,28,3,5,-2,17,-10,-1,4,1,1,0,0,W
1208,4,1.29,8,0,4,1,3,4.400000000000006,53,4,43,55,4,2,5,-2,-10,-13,-52,-5,5,-8,-10,-2,-6,4,-3,1,-15,5,0,-7,1,1,0,0,W
1209,1,0.3199999999999994,11,0,2,3,6,20.799999999999997,183,9,181,186,8,5,9,-5,-9,-6,-22,4,-4,-11,-16,-5,-10,-5,-9,1,-10,8,0,-2,-3,1,0,0,W
1210,1,0.3700000000000001,-1,0,-1,-3,3,8.799999999999997,94,2,90,81,1,3,-3,-3,41,2,6,6,-6,-1,-4,-3,7,-5,2,3,75,7,0,-8,1,1,0,0,W
1211,-4,-1.3399999999999999,-5,0,-1,0,-4,-20.799999999999997,-230,-4,-239,-224,-6,-7,-5,7,-39,-3,-14,-5,5,-4,3,7,-29,6,1,-6,0,2,0,-6,-1,0,0,1,L
1212,-1,-0.4900000000000002,0,0,1,0,-1,-11.400000000000006,-117,-2,-131,-123,5,-4,-6,4,9,-5,-18,13,-13,6,10,4,7,-16,7,1,-10,-4,0,-4,1,0,0,1,L
1213,2,0.54,2,0,4,-1,-1,-8.200000000000003,-78,-1,-71,-62,5,-6,-5,6,-17,-6,-18,-4,4,-5,1,6,-21,-3,3,-3,-17,4,1,6,2,1,0,0,W
1214,-2,-0.5499999999999998,2,0,-3,4,1,-13.0,-133,-6,-138,-145,3,5,3,-5,25,5,22,-1,1,-2,-7,-5,12,2,-6,3,-20,4,0,2,0,0,0,1,L
1215,-1,-0.3700000000000001,5,3,-1,4,2,23.400000000000006,201,13,193,197,3,9,14,-9,5,-1,-4,-5,5,-7,-16,-9,14,-12,-2,1,-3,2,0,1,-2,0,0,1,L
1216,1,0.10999999999999943,6,0,-2,7,1,-28.0,-282,-5,-279,-266,3,-9,-7,9,-31,5,46,5,-5,-10,-1,9,-31,6,-2,-3,40,8,0,1,1,1,0,0,W
1217,1,0.4400000000000004,-5,0,-1,-2,-2,-31.199999999999996,-270,-10,-276,-265,-2,-15,-22,15,-40,10,42,16,-16,9,24,15,-34,4,9,0,-40,-2,0,-1,1,1,0,0,W
1218,3,1.1400000000000006,10,0,6,4,0,16.799999999999997,209,11,173,194,9,3,5,-3,2,7,42,-1,1,-9,-12,-3,-4,8,1,1,35,7,0,-4,0,1,0,0,W
1219,1,0.4900000000000002,9,0,2,8,-1,-2.799999999999997,-21,-2,-37,-33,10,-5,-11,5,3,8,16,8,-8,8,13,5,-1,-8,4,6,-11,-2,0,-1,-2,1,0,0,W
1220,2,1.0999999999999996,16,0,8,6,2,15.200000000000003,153,5,125,130,11,7,7,-7,17,13,44,-1,1,5,-2,-7,22,0,0,0,80,-5,0,-2,0,1,0,0,W
1221,0,0.1200000000000001,3,0,4,1,-2,-9.400000000000006,-34,6,-79,-39,5,1,2,-1,-1,2,10,-6,6,-3,-4,-1,-3,21,0,-4,-33,2,0,-7,1,0,1,0,D
1222,0,0.07000000000000028,-8,0,-2,-6,0,-16.200000000000003,-135,-10,-108,-125,-2,-4,-7,4,5,7,36,1,-1,-2,2,4,-10,12,2,-3,-17,5,0,1,0,0,1,0,D
1223,-1,-0.6100000000000003,8,0,2,0,6,16.200000000000003,150,4,151,153,8,-1,1,1,-16,-1,-6,1,-1,-4,-3,1,-10,-22,-9,7,13,2,0,1,2,0,0,1,L
1224,-1,-0.20999999999999996,4,1,-2,5,1,29.599999999999994,287,8,281,267,8,6,9,-6,14,-1,-4,7,-7,-7,-13,-6,9,-10,-7,3,27,4,0,-12,1,0,0,1,L
1225,-1,-0.4500000000000002,3,0,0,0,3,-5.200000000000003,-41,-4,-47,-52,2,-3,-1,3,-19,1,6,3,-3,-12,-9,3,-25,-12,4,8,50,10,0,-8,0,0,0,1,L
1226,-1,-0.3600000000000003,-3,-2,-2,0,-1,-10.400000000000006,-100,-6,-91,-98,-1,5,4,-5,25,-5,-20,5,-5,5,0,-5,29,-6,-3,1,0,-4,0,10,2,0,0,1,L
1227,1,-0.03000000000000025,-8,-2,2,-4,-6,-24.200000000000003,-183,-16,-172,-179,-5,-12,-13,12,-31,7,14,-1,1,1,13,12,-26,21,-6,-3,83,0,0,5,3,1,0,0,W
1228,-1,-0.6400000000000006,-4,0,1,-3,-2,-7.200000000000003,-92,-6,-68,-77,-5,4,3,-4,10,-1,-2,17,-17,6,2,-4,15,-21,-6,3,3,-5,0,4,1,0,0,1,L
1229,1,0.2599999999999998,3,2,1,2,0,-21.599999999999994,-164,-7,-162,-161,-2,4,9,-4,-7,-6,-30,4,-4,1,-3,-4,11,-5,-8,-2,-25,-6,0,3,0,1,0,0,W
1230,-2,-0.7299999999999995,-9,0,-6,-4,1,-16.0,-153,-4,-160,-165,-14,-2,-4,2,1,7,36,3,-3,1,3,2,-3,19,-4,-6,-35,1,0,-7,-1,0,0,1,L
1231,0,0.07000000000000028,5,1,3,3,-1,-4.200000000000003,-43,-3,-47,-52,2,0,3,0,-14,4,18,2,-2,-3,-3,0,-4,-11,3,-2,8,0,0,1,3,0,1,0,D
1232,-1,-0.2999999999999998,-2,0,2,0,-4,-8.400000000000006,-86,-1,-108,-92,-1,8,13,-8,-3,-2,-8,10,-10,-2,-10,-8,11,-19,3,6,23,-3,0,0,2,0,0,1,L
1233,1,0.3799999999999999,-1,0,-1,-2,2,28.0,284,13,271,275,-2,6,7,-6,2,-5,-16,-9,9,-7,-13,-6,-3,3,-4,2,13,6,0,-6,1,1,0,0,W
1234,-2,-0.5800000000000001,15,0,5,4,6,4.799999999999997,29,5,30,46,6,-3,-4,3,-3,10,38,10,-10,5,8,3,2,-15,3,0,-34,-4,0,6,-3,0,0,1,L
1235,1,0.6099999999999994,-4,0,0,-1,-3,14.0,172,2,163,153,1,-4,-5,4,-4,5,24,-7,7,1,5,4,-6,14,-1,-1,33,0,-1,-5,2,1,0,0,W
1236,-3,-1.17,-5,0,-9,-1,5,12.5,99,9,95,109,-2,-8,-3,8,-29,2,6,4,-4,-13,-5,8,-27,-5,0,3,11,8,1,-6,-3,0,0,1,L
1237,-2,-0.8100000000000005,-3,0,0,-5,2,-0.20000000000000284,-7,2,-2,5,-1,-9,-19,9,5,1,6,5,-5,3,12,9,-17,3,1,-2,-10,7,0,10,3,0,0,1,L
1238,-1,-0.07000000000000028,-6,-1,-3,-3,0,19.799999999999997,124,8,137,124,-3,4,-3,-4,43,11,30,1,-1,5,1,-4,18,-10,-4,-7,14,2,2,-3,1,0,0,1,L
1239,1,0.3899999999999997,3,-2,2,4,-3,-4.200000000000003,-11,1,-39,-31,4,6,6,-6,17,-10,-50,2,-2,-6,-12,-6,8,3,9,-2,-67,6,0,-1,0,1,0,0,W
1240,4,1.29,-4,-1,4,-8,0,-6.200000000000003,-40,-1,-43,-41,-1,9,7,-9,22,-4,-66,-2,2,-3,-12,-9,13,9,-3,-5,-3,4,-1,3,-4,1,0,0,W
1241,5,1.83,12,1,5,7,0,5.599999999999994,80,1,72,65,12,5,7,-5,4,4,20,-7,7,2,-3,-5,11,12,6,-1,50,-4,1,4,3,1,0,0,W
